class	truc	truc	truc	truc	truc	truc	truc	truc	truc	truc	truc	truc	truc	truc	truc	truc	truc	truc	truc	truc	rag2	rag2	rag2	rag2	rag2	rag2	rag2	rag2	rag2	rag2
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Parascardovia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Scardovia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae	0.0482160077146	0.0586854460094	0.113277773283	0.174034110686	0.1055257099	0.217641787223	0.0337495781303	0.0281690140845	0.621683093252	0.0410846343468	0.0871269875844	0.38496791934	0.48583955445	0.365699873897	0.575063169818	0.782800441014	0.308641975309	0.278113663845	0.118257072683	0.162689804772	0.115953232196	0.104620749782	0.0879378572475	0.106434446057	0.237847480303	0.0724462690171	0.30734206033	0.119431506031	0.140308679094	0.0552257351926
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|Adlercreutzia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0183318056829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|Asaccharobacter	0.0	0.0195618153365	0.0485476171211	0.0696136442743	0.0575594781274	0.0896172065036	0.0112498593768	0.0	0.348749052312	0.0	0.0217817468961	0.0733272227314	0.331792866453	0.239596469105	0.270105428248	0.407938257993	0.179211469534	0.205562273277	0.0636768852906	0.0976138828633	0.0193255386994	0.052310374891	0.0439689286238	0.0677310111272	0.0297309350379	0.0	0.0569151963574	0.0119431506031	0.0	0.0276128675963
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|Collinsella	0.0	0.0	0.0404563476009	0.0116022740457	0.00959324635457	0.0128024580719	0.0	0.0	0.0758150113723	0.0	0.0	0.0366636113657	0.023699490461	0.0126103404792	0.060991548314	0.0110253583241	0.00995619275189	0.0	0.0181933957973	0.0	0.0096627693497	0.0	0.0	0.0	0.014865467519	0.0	0.0113830392715	0.0	0.0	0.0
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|Coriobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|Eggerthella	0.0	0.0782472613459	0.0242738085606	0.0348068221371	0.0	0.0256049161439	0.0112498593768	0.0140845070423	0.13646702047	0.0205423171734	0.0	0.0916590284143	0.0355492356914	0.0882723833544	0.0697046266446	0.13230429989	0.0398247710076	0.0241837968561	0.00909669789866	0.0433839479393	0.0	0.0	0.0146563095413	0.00967585873246	0.0594618700758	0.0482975126781	0.0569151963574	0.0	0.0	0.0138064337981
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|Enterorhabdus	0.0241080038573	0.0	0.0161825390404	0.0116022740457	0.0575594781274	0.128024580719	0.0112498593768	0.0140845070423	0.106141015921	0.0205423171734	0.0435634937922	0.12832263978	0.0473989809219	0.0252206809584	0.0348523133223	0.209481808159	0.0995619275189	0.0725513905683	0.0181933957973	0.0	0.0579766160982	0.052310374891	0.0293126190825	0.0	0.104058272633	0.0482975126781	0.159362549801	0.0716589036188	0.100220485067	0.0
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|Gordonibacter	0.0	0.0	0.0	0.0	0.0	0.0128024580719	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00871307833057	0.0220507166483	0.0	0.0	0.0	0.0	0.0096627693497	0.0	0.0	0.0	0.0	0.0	0.0	0.0119431506031	0.0	0.0
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|Olsenella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0118497452305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00967585873246	0.014865467519	0.0	0.0113830392715	0.0	0.0	0.0
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|Paraeggerthella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|Slackia	0.0241080038573	0.0	0.0	0.0464090961829	0.00959324635457	0.0	0.0	0.0	0.0303260045489	0.0	0.0217817468961	0.0549954170486	0.0592487261524	0.0126103404792	0.15683540995	0.0441014332966	0.00995619275189	0.0	0.00909669789866	0.0216919739696	0.0386510773988	0.0174367916303	0.0	0.0193517174649	0.0297309350379	0.0	0.022766078543	0.0358294518094	0.0601322910403	0.0138064337981
Bacteria|Actinobacteria|Actinobacteria|Rubrobacterales|Rubrobacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria|Actinobacteria|Actinobacteria|Rubrobacterales|Rubrobacteraceae|Rubrobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria|Aquificae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria|Aquificae|Aquificae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria|Aquificae|Aquificae|Aquificales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria|Bacteroidetes	11.8129218901	3.61893583725	6.57820211991	12.5884673396	7.63622409823	23.5565228524	4.9836877039	1.70422535211	21.4404852161	0.780608052588	10.9344369418	17.6718606783	11.7549472686	11.9798234552	29.8771455955	20.9922822492	16.9255276782	5.35671100363	11.7256435914	19.273318872	50.7198763166	40.1046207498	14.6416532317	16.1490082245	49.6060651107	8.74184979474	27.6949345475	11.1907321151	45.9210262578	17.6722352616
Bacteria|Bacteroidetes|Bacteroidia	9.90838958534	3.44287949922	6.02799579254	11.3354217427	6.55218726017	20.6759697862	4.22994712566	1.59154929577	18.4382107657	0.780608052588	10.3027662819	17.0302474794	10.4396255481	11.6519546028	29.2933693474	18.8313120176	15.2528872959	4.89721886336	10.0791412717	17.6681127983	50.0628080008	37.8378378378	14.0554008501	15.8297048863	49.2641593578	7.41366819609	26.374501992	10.4024841753	45.2395269593	14.7866905978
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales	9.90838958534	3.44287949922	6.02799579254	11.3354217427	6.55218726017	20.6759697862	4.22994712566	1.59154929577	18.4382107657	0.780608052588	10.3027662819	17.0302474794	10.4396255481	11.6519546028	29.2933693474	18.8313120176	15.2528872959	4.89721886336	10.0791412717	17.6681127983	50.0628080008	37.8378378378	14.0554008501	15.8297048863	49.2641593578	7.41366819609	26.374501992	10.4024841753	45.2395269593	14.7866905978
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae	6.36451301832	0.811815336463	2.89667448823	6.69451212438	2.05295471988	4.68569965433	1.96872539093	0.450704225352	9.82562547384	0.369761709121	7.88499237639	8.81759853346	4.18296006636	3.26607818411	18.6198483924	9.18412348401	2.79769016328	0.713422007255	2.28327117256	7.12581344902	18.5428543821	18.064516129	1.9199765499	3.89937106918	14.0627322729	0.50712388312	2.2766078543	1.82730204228	25.355782722	4.87367113075
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides	6.36451301832	0.811815336463	2.89667448823	6.69451212438	2.05295471988	4.68569965433	1.96872539093	0.450704225352	9.82562547384	0.369761709121	7.88499237639	8.81759853346	4.18296006636	3.26607818411	18.6198483924	9.18412348401	2.79769016328	0.713422007255	2.28327117256	7.12581344902	18.5428543821	18.064516129	1.9199765499	3.89937106918	14.0627322729	0.50712388312	2.2766078543	1.82730204228	25.355782722	4.87367113075
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidales_incertae_sedis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidales_incertae_sedis|Phocaeicola	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Marinilabiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Marinilabiaceae|Alkaliflexus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae	1.35004821601	0.0586854460094	0.833400760579	1.71713655877	1.21834228703	3.91755217002	0.44999437507	0.183098591549	2.16830932525	0.0205423171734	0.588107166195	3.2080659945	2.39364853656	1.86633039092	4.09514681537	4.80705622933	3.20589406611	0.677146311971	3.98435367961	4.05639913232	19.866653783	11.3862249346	6.75655869852	6.6473149492	21.4360041623	1.52137164936	14.4109277177	2.46028902424	10.483062738	2.11238437112
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Barnesiella	0.554484088717	0.0195618153365	0.347924589368	1.11381830839	0.412509593246	3.39265138907	0.202497468782	0.140845070423	1.47081122062	0.0	0.413853191026	2.80476626948	1.63526484181	0.731399747793	3.50265748889	3.91400220507	2.52887295898	0.519951632406	2.68352588011	2.08242950108	11.4020678326	6.29468177855	4.22101714788	4.1122399613	13.4532481047	0.893503984545	9.2999430848	1.81535889168	5.43195029064	0.7455474251
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Butyricimonas	0.0	0.0	0.0	0.0	0.0	0.0128024580719	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.428751576293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Odoribacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Paludibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
